Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Merck & Co,United States of America,USA,Health Care,No,large,US58933Y1055,2778844,01/11/2023,12/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Merck Group,Germany,DEU,Health Care,No,large,DE0006599905,4741844,01/12/2024,05/03/2024,5,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Merck Group,Germany,DEU,Health Care,No,large,DE0006599905,4741844,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Mercury,New Zealand,NZL,Electricity Utilities,No,large,NZMRPE0001S2,B8W6K56,01/12/2024,15/04/2024,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Mercury,New Zealand,NZL,Electricity Utilities,No,large,NZMRPE0001S2,B8W6K56,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,No,No,No,No
Meridian Energy,New Zealand,NZL,Electricity Utilities,No,large,NZMELE0002S7,BWFD052,01/12/2024,11/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Meridian Energy,New Zealand,NZL,Electricity Utilities,No,large,NZMELE0002S7,BWFD052,01/11/2023,10/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Meta,United States of America,USA,Technology,No,large,US30303M1027,B7TL820,01/12/2024,26/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Meta,United States of America,USA,Technology,No,large,US30303M1027,B7TL820,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Metallurgical Corp of China,China,CHN,Industrials,No,large,CNE100000FX6,B4KPYX3,01/12/2024,04/05/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,Yes,No,No,No
Metalurgica Gerdau,Brazil,BRA,Steel,No,medium,BRGOAUACNPR8,2648862,01/12/2024,19/04/2024,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Metalurgica Gerdau,Brazil,BRA,Steel,No,medium,BRGOAUACNPR8,2648862,01/11/2023,04/05/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Methanex,Canada,CAN,Chemicals,No,small,CA59151K1084,2654416,01/12/2024,05/02/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
Methanex,Canada,CAN,Chemicals,No,small,CA59151K1084,2654416,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
Metlife,United States of America,USA,Financials,No,large,US59156R1086,2573209,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Metro,Canada,CAN,Consumer Services,No,medium,CA59162N1096,2583952,01/12/2024,05/01/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Metsa Board,Finland,FIN,Paper,No,small,FI0009000665,5071432,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Metsa Board,Finland,FIN,Paper,No,small,FI0009000665,5071432,01/11/2023,04/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Metso Corporation,Finland,FIN,Industrials,No,medium,FI0009014575,B1FN8X9,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Mettler-Toledo,United States of America,USA,Industrials,No,medium,US5926881054,2126249,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Michelin,France,FRA,Consumer Goods,No,large,FR001400AJ45,BPBPJ01,01/12/2024,17/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Microchip Technology,United States of America,USA,Technology,No,large,US5950171042,2592174,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Micron Technology,United States of America,USA,Technology,No,large,US5951121038,2588184,01/12/2024,19/04/2024,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Micron Technology,United States of America,USA,Technology,No,large,US5951121038,2588184,01/11/2023,12/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Microsoft,United States of America,USA,Technology,No,large,US5949181045,2588173,01/12/2024,01/11/2024,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Microsoft,United States of America,USA,Technology,No,large,US5949181045,2588173,01/11/2023,12/05/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Mid-America Apartment Comm,United States of America,USA,Financials,No,medium,US59522J1034,2589132,01/12/2024,15/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Middleby,United States of America,USA,Industrials,No,small,US5962781010,2590930,01/12/2024,05/01/2024,1,new,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Minebea Mitsumi,Japan,JPN,Industrials,No,large,JP3906000009,6642406,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
